2025.12.19 20:13:59 INFO  Non-compiled module 'compiler-bridge_2.12' for Scala 2.12.18. Compiling...
2025.12.19 20:14:06 INFO  Compilation completed in 6.673s.
2025.12.19 20:14:11 INFO  time: compiled spark-analytics-job in 11s
2025.12.19 21:15:46 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:15:46 INFO  time: compiled spark-analytics-job in 0.54s
2025.12.19 21:16:06 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:16:06 INFO  time: compiled spark-analytics-job in 0.61s
2025.12.19 21:17:48 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:17:48 INFO  time: compiled spark-analytics-job in 0.39s
2025.12.19 21:21:41 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:21:41 INFO  time: compiled spark-analytics-job in 0.32s
2025.12.19 21:21:54 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:21:54 INFO  time: compiled spark-analytics-job in 0.81s
2025.12.19 21:21:54 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:21:55 INFO  time: compiled spark-analytics-job in 0.25s
2025.12.19 21:21:59 INFO  compiling spark-analytics-job (1 scala source)
2025.12.19 21:21:59 INFO  time: compiled spark-analytics-job in 0.75s
2025.12.19 21:23:37 INFO  Created report: Optional[file:///Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/src/main/scala/com/company/analytics/instrumentation/MethodLoggingAspect.scala]
2025.12.19 21:23:37 INFO  empty definition using pc, found symbol in pc:  (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_empty-definition_(spark-analytics-job)_21-23-37-313.md")
2025.12.19 21:23:38 INFO  empty definition using pc, found symbol in pc:  (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_empty-definition_(spark-analytics-job)_21-23-37-313.md")
2025.12.19 21:24:02 INFO  empty definition using pc, found symbol in pc:  (full report at: "/Users/verussequeira/Documents/userdata/Workspace/spark-analytics-job/.metals/.reports/metals-full/2025-12-19/r_empty-definition_(spark-analytics-job)_21-23-37-313.md")
2025.12.22 12:33:12 INFO  compiling spark-analytics-job (1 scala source)
2025.12.22 12:33:13 INFO  time: compiled spark-analytics-job in 1.02s
2025.12.22 12:34:20 INFO  compiling spark-analytics-job (1 scala source)
2025.12.22 12:34:20 INFO  time: compiled spark-analytics-job in 0.62s
2025.12.22 12:46:03 INFO  compiling spark-analytics-job (1 scala source)
2025.12.22 12:46:03 INFO  time: compiled spark-analytics-job in 0.31s
2025.12.22 12:48:06 INFO  compiling spark-analytics-job (1 scala source)
2025.12.22 12:48:06 INFO  time: compiled spark-analytics-job in 0.18s
Dec 22, 2025 12:48:06 PM scala.meta.internal.pc.CompilerAccess retryWithCleanCompiler
INFO: compiler crashed due to an error in the Scala compiler, retrying with new compiler instance.
2025.12.22 14:26:35 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:26:35 INFO  time: compiled spark-analytics-job in 0.23s
2025.12.22 14:27:54 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:27:54 INFO  time: compiled spark-analytics-job in 0.25s
Dec 22, 2025 2:28:35 PM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 1593
2025.12.22 14:28:41 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:28:41 INFO  time: compiled spark-analytics-job in 0.21s
2025.12.22 14:29:10 INFO  compiling spark-analytics-job (1 scala source)
2025.12.22 14:29:10 INFO  time: compiled spark-analytics-job in 0.16s
2025.12.22 14:29:26 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:26 INFO  time: compiled spark-analytics-job in 0.18s
2025.12.22 14:29:30 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:30 INFO  time: compiled spark-analytics-job in 0.21s
2025.12.22 14:29:34 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:34 INFO  time: compiled spark-analytics-job in 0.18s
2025.12.22 14:29:38 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:38 INFO  time: compiled spark-analytics-job in 0.17s
2025.12.22 14:29:42 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:42 INFO  time: compiled spark-analytics-job in 0.2s
2025.12.22 14:29:44 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:44 INFO  time: compiled spark-analytics-job in 0.17s
2025.12.22 14:29:49 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:49 INFO  time: compiled spark-analytics-job in 0.2s
2025.12.22 14:29:55 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:55 INFO  time: compiled spark-analytics-job in 0.16s
2025.12.22 14:29:58 INFO  compiling spark-analytics-job (2 scala sources)
2025.12.22 14:29:58 INFO  time: compiled spark-analytics-job in 0.18s
2025.12.22 14:35:41 INFO  compiling spark-analytics-job (3 scala sources)
2025.12.22 14:35:41 INFO  time: compiled spark-analytics-job in 0.2s
2025.12.22 14:36:05 INFO  compiling spark-analytics-job (3 scala sources)
2025.12.22 14:36:05 INFO  time: compiled spark-analytics-job in 0.2s
2025.12.22 14:38:06 INFO  compiling spark-analytics-job (3 scala sources)
2025.12.22 14:38:06 INFO  time: compiled spark-analytics-job in 0.19s
2025.12.22 14:38:09 INFO  compiling spark-analytics-job (3 scala sources)
2025.12.22 14:38:09 INFO  time: compiled spark-analytics-job in 0.17s
2025.12.22 14:38:30 INFO  compiling spark-analytics-job (3 scala sources)
